time_day,T_obs,DO_obs,Am_obs,BOD_obs,Plankton_obs,b_obs,k_obs
0.0,31.0,14.9,0.81,25.6,2283315.0,0.9,0.00164276195177
10.0,30.3666666667,14.7333333333,0.633333333333,24.9666666667,1967156.0,0.9,0.0016290857082
19.9,29.7396666667,14.5683333333,0.458433333333,24.3396666667,1654158.59,0.9,0.00161565838484
29.8,29.1126666667,14.4033333333,0.283533333333,23.7126666667,1341161.18,0.9,0.00160234173277
39.7,28.7443333333,13.4623333333,0.5322,23.603,1371631.39333,0.8952625,0.00159457005552
49.6,28.3813333333,12.5053333333,0.7896,23.504,1409183.41333,0.8866,0.00158694778965
59.5,28.0183333333,11.5483333333,1.047,23.405,1446735.43333,0.85675,0.00157936195927
69.5,29.045,12.07,1.08216666667,24.3183333333,1560677.53333,0.82175,0.00160091116012
79.5,30.145,12.67,1.1055,25.285,1678620.2,0.78675,0.00162432597031
89.5,31.245,13.27,1.12883333333,26.2516666667,1796562.86667,0.729666666667,0.00164808324381
99.5,31.015,11.97,0.902,23.45,1719313.15,0.636333333333,0.00164308725084
109.5,30.715,10.57,0.662,20.45,1631790.15,0.4984375,0.00163659349146
119.5,30.415,9.17,0.422,17.45,1544267.15,0.338020833333,0.00163012539651
129.5,30.78,9.13166666667,0.508166666667,20.4033333333,1490610.06667,0.293979166667,0.00163799829124
139.5,31.18,9.165,0.6115,23.67,1438735.4,0.2615625,0.00164666979485
149.5,31.58,9.19833333333,0.714833333333,26.9366666667,1386860.73333,0.246979166667,0.00165538720507
159.5,31.2516666667,9.16833333333,0.523666666667,23.775,1436146.5,0.2354375,0.00164822828152
169.5,30.885,9.135,0.317,20.275,1490756.5,0.2266875,0.0016402701309
179.5,30.5183333333,9.10166666667,0.110333333333,16.775,1545366.5,0.222645833333,0.00163235040466
189.5,31.5766666667,8.56166666667,0.157,19.355,1438719.06667,0.219729166667,0.00165531436964
199.5,32.71,7.995,0.217,22.255,1323584.4,0.2168125,0.00168026403076
209.5,33.8433333333,7.42833333333,0.277,25.155,1208449.73333,0.215,0.00170558974467
219.5,32.8866666667,7.55833333333,0.511166666666,22.4183333333,1310014.5,0.215,0.00168418697886
229.5,31.82,7.725,0.7545,19.385,1422984.5,0.215,0.00166063978744
239.5,30.7533333333,7.89166666667,0.997833333333,16.3516666667,1535954.5,0.215,0.00163742181731
249.5,30.1933333333,7.71,0.940333333333,16.3266666667,1654472.5,0.212229166667,0.00162536262094
259.4,29.6653333333,7.512,0.867733333333,16.4586666667,1772094.4,0.209341666667,0.00161407387832
269.3,29.1373333333,7.314,0.795133333333,16.5906666667,1889716.3,0.206454166667,0.00160286354018
279.2,29.1613333333,6.90133333333,1.1396,18.0413333333,1837926.33333,0.203566666667,0.0016033714078
289.1,29.2273333333,6.47233333333,1.5158,19.5923333333,1773246.33333,0.200679166667,0.00160476887361
299.0,29.2933333333,6.04333333333,1.892,21.1433333333,1708566.33333,0.2,0.00160616755744
308.9,28.1133333333,6.445,1.46126666667,19.787,1784204.92,0.2,0.00158134372147
318.8,26.7933333333,6.94,0.939866666666,18.104,1875609.64,0.2,0.00155402904498
328.7,25.4733333333,7.435,0.418466666666,16.421,1967014.36,0.2,0.00152718617708
338.6,25.3573333333,7.90133333333,0.421666666667,18.4646666667,1995104.73333,0.2,0.00152484953899
348.5,25.4233333333,8.36333333333,0.504166666667,21.0716666667,2013624.33333,0.2,0.00152617856675
358.4,25.4893333333,8.82533333333,0.586666666667,23.6786666667,2032143.93333,0.2,0.00152750875286
