time_day,Observed_Weight
0.0,5.6
10.0,11.9
19.9,18.137
29.8,24.374
39.7,37.7243333333
49.6,51.2213333333
59.5,64.7183333333
69.5,80.6633333333
79.5,96.73
89.5,112.796666667
99.5,127.47
109.5,142.07
119.5,156.67
129.5,169.591666667
139.5,182.425
149.5,195.258333333
159.5,210.815
169.5,226.515
179.5,242.215
189.5,252.563333333
199.5,262.63
209.5,272.696666667
219.5,285.74
229.5,298.94
239.5,312.14
249.5,320.811666667
259.4,329.160666667
269.3,337.509666667
279.2,339.878666667
289.1,341.792666667
299.0,343.706666667
308.9,360.780333333
318.8,379.557333333
328.7,398.334333333
338.6,410.116666667
348.5,420.841666667
358.4,431.566666667
