Day,Infected_Data,Recovered_Data
0,2.0,0.0
1,0.8,1.2
2,2.5,0.2
3,4.5,0.7
4,1.0,0.0
5,1.1,0.4
6,5.1,2.9
7,3.6,7.7
8,1.2,5.4
9,3.5,11.5
10,1.6,0.0
11,1.8,5.3
12,3.6,2.0
13,0.0,12.2
14,0.0,0.0
15,2.9,0.0
16,2.3,0.0
17,5.7,0.0
18,3.4,0.0
19,2.8,0.0
20,10.1,3.6
21,6.8,4.9
22,8.2,13.1
23,5.3,8.8
24,8.3,1.5
25,10.9,0.3
26,8.7,7.9
27,13.8,0.0
28,12.4,16.0
29,14.6,13.4
30,15.2,5.7
31,24.0,0.1
32,20.3,16.9
33,19.0,10.3
34,27.0,18.5
35,22.6,4.8
36,29.9,11.4
37,24.9,16.0
38,29.9,17.9
39,38.9,16.9
40,44.6,24.6
41,46.1,17.5
42,48.9,24.8
43,52.4,28.7
44,51.2,33.7
45,59.8,37.7
46,66.5,30.4
47,80.9,31.4
48,83.1,51.6
49,76.3,50.1
50,96.7,48.0
51,99.2,66.7
52,104.6,63.0
53,122.6,75.3
54,134.9,74.1
55,143.3,93.6
56,136.6,98.6
57,150.7,92.3
58,166.8,108.5
59,183.6,114.5
60,177.9,128.6
61,191.1,120.4
62,189.8,142.6
63,198.1,155.9
64,233.7,143.8
65,251.0,159.4
66,240.8,163.3
67,265.2,190.6
68,264.4,212.1
69,257.0,232.6
70,279.8,232.5
71,305.4,261.7
72,286.1,245.5
73,317.8,256.1
74,252.2,287.9
75,313.8,307.6
76,304.2,317.9
77,299.7,309.3
78,307.7,347.6
79,272.2,348.0
80,302.7,387.7
81,311.8,399.4
82,329.5,397.5
83,293.0,418.2
84,285.5,425.6
85,287.5,454.3
86,307.4,483.7
87,293.4,470.1
88,274.8,506.5
89,286.7,505.0
90,274.8,514.7
91,282.7,539.0
92,251.5,537.5
93,251.4,558.2
94,244.5,560.1
95,223.3,625.6
96,241.9,605.3
97,235.1,604.5
98,225.3,632.0
99,215.9,637.5
100,194.8,646.4
101,201.2,672.2
102,196.0,685.3
103,184.6,671.5
104,186.1,680.2
105,186.4,695.2
106,196.4,665.4
107,172.1,689.0
108,167.2,753.6
109,158.3,767.5
110,135.1,738.1
111,148.1,762.3
112,143.7,764.4
113,160.1,827.9
114,131.5,795.1
115,131.0,776.3
116,123.5,765.5
117,110.0,758.0
118,123.8,801.7
119,116.4,787.3
120,error,778.6
121,96.1,800.3
122,108.5,796.1
123,85.6,860.4
124,95.3,847.9
125,102.0,833.3
126,78.4,870.1
127,77.9,843.8
128,78.8,827.3
129,72.3,883.6
130,63.6,865.7
131,69.8,834.5
132,61.1,856.7
133,66.6,844.8
134,57.0,836.6
135,66.9,891.3
136,53.1,916.4
137,53.1,844.9
138,56.2,891.8
139,44.8,867.0
140,49.4,873.2
141,52.1,873.2
142,37.8,869.3
143,43.6,892.3
144,42.1,874.3
145,42.5,901.6
